Student ID,Q1,Q2,Q3,Bonus,Total Grade,Tag
E680,39,25,34,0,98,
H988,35,21,30,0,86,
U826,35,21,30,0,86,
Z425,40,25,35,5,105,suspicious
D821,34,21,29,0,84,
A986,36,22,32,0,90,
R719,40,25,35,1,101,suspicious
Y040,40,25,35,5,105,suspicious
C203,,,,,,absent
T560,35,23,30,0,88,
Q928,36,22,30,0,88,suspicious
W247,31,21,27,0,79,
K747,37,23,33,0,93,suspicious
S662,39,23,33,0,95,
A608,40,25,35,3,103,suspicious
A113,28,17,24,0,69,
Z881,,,,,,absent
P262,32,20,28,0,80,suspicious
Z539,40,25,35,5,105,suspicious
X454,,,,,,absent
I849,29,18,26,0,73,
J432,36,22,30,0,88,suspicious
H712,30,21,26,0,77,
O778,,,,,,absent
H516,32,22,28,0,82,suspicious
W906,,,,,,absent
