Student ID,Q1,Q2,Q3,Bonus,Total Grade,Tag
S800,32,20,30,0,82,
E307,30,20,26,0,76,
X424,35,23,30,4,92,
E691,28,17,26,0,71,
O523,31,19,28,0,78,
N538,40,25,35,5,105,suspicious
B137,40,25,35,3,103,suspicious
P693,36,23,33,0,92,suspicious
O973,28,19,24,0,71,
B112,37,23,33,0,93,suspicious
L166,35,22,32,0,89,suspicious
H325,33,22,29,0,84,
O916,39,24,33,0,96,
F339,33,20,30,3,86,
A984,40,25,35,2,102,suspicious
F471,34,23,30,0,87,suspicious
Z223,33,21,30,0,84,
V555,33,19,27,0,79,
U967,36,22,31,0,89,
Y483,38,24,33,5,100,
V320,36,22,30,2,90,
I268,37,22,31,4,94,
F027,40,25,35,5,105,suspicious
L075,40,25,35,5,105,suspicious
J116,33,21,30,0,84,
O083,37,23,32,0,92,suspicious
