Student ID,Q1,Q2,Q3,Bonus,Total Grade,Tag
K973,32,22,28,0,82,
D872,24,15,23,0,62,
V494,,,,,,absent
X742,40,25,35,1,101,
W983,40,25,35,1,101,
Y185,34,21,30,0,85,suspicious
Z312,,,,,,absent
D115,40,25,35,0,100,
S046,39,23,33,0,95,
Y266,40,25,35,4,104,
M806,36,23,31,0,90,suspicious
M553,40,25,35,0,100,
L907,40,25,35,4,104,
R377,38,25,33,0,96,
V056,32,22,28,0,82,
A712,,,,,,absent
W433,,,,,,absent
P940,39,24,33,0,96,
E547,,,,,,absent
U924,38,25,33,0,96,
B329,33,20,30,0,83,suspicious
K251,32,20,30,0,82,suspicious
N833,40,25,35,1,101,
J921,34,21,30,0,85,
X182,34,20,28,0,82,suspicious
V740,32,20,30,0,82,
