Student ID,Q1,Q2,Q3,Bonus,Total Grade,Tag
W228,31,19,26,0,76,
N175,40,25,35,0,100,
T960,32,20,28,0,80,
X419,40,25,35,1,101,suspicious
R103,35,22,31,0,88,
T591,40,25,35,2,102,suspicious
P644,40,25,35,4,104,
X319,35,21,30,0,86,suspicious
Z029,33,19,27,0,79,
K135,40,25,35,1,101,
L787,40,25,35,5,105,
Q668,40,25,35,5,105,suspicious
Q899,36,22,31,0,89,
P799,40,25,35,5,105,suspicious
P010,40,25,35,5,105,suspicious
P005,38,22,31,0,91,suspicious
E056,36,22,30,0,88,suspicious
N900,40,25,35,1,101,
P806,36,23,33,0,92,suspicious
W967,36,23,33,0,92,
S291,38,26,33,0,97,
W463,31,19,26,0,76,
E836,40,25,35,3,103,
K246,26,17,22,0,65,
L295,39,23,33,0,95,
K198,34,21,31,0,86,suspicious
