Student ID,Q1,Q2,Q3,Bonus,Total Grade,Tag
C055,29,19,25,0,73,
G082,29,18,25,0,72,
T630,40,25,35,0,100,
D183,40,25,35,2,102,suspicious
F947,39,24,35,0,98,
O432,32,21,28,0,81,suspicious
H157,29,18,26,0,73,
T050,,,,,,absent
Y509,37,23,32,0,92,suspicious
B738,40,25,35,5,105,suspicious
M389,,,,,,absent
T233,34,20,28,0,82,
T385,,,,,,absent
N815,40,25,35,1,101,suspicious
G067,,,,,,absent
Q938,,,,,,absent
H037,40,25,35,0,100,
R835,37,22,31,0,90,
Y408,40,25,35,4,104,suspicious
G417,37,25,32,0,94,suspicious
B251,31,19,29,0,79,
T489,37,23,32,0,92,suspicious
U162,29,18,26,0,73,
R935,39,24,36,0,99,
Y277,40,25,35,4,104,suspicious
O586,35,22,31,0,88,suspicious
