Student ID,Q1,Q2,Q3,Bonus,Total Grade,Tag
Z773,30,18,27,0,75,
U611,36,22,32,0,90,
L712,35,23,31,0,89,
W401,0,-2,0,0,-2,
I455,-5,0,0,0,-5,
O902,40,25,35,4,104,
T091,34,20,28,5,87,
B599,38,23,34,0,95,
W974,40,25,35,4,104,
O673,33,22,29,0,84,
L160,34,22,29,5,90,
X013,34,22,29,2,87,
Y082,-3,0,0,0,-3,
P312,38,23,32,0,93,
N563,32,22,28,4,86,
Q981,40,25,35,2,102,
W771,40,25,35,2,102,
G103,33,19,27,0,79,
O725,0,0,-10,0,-10,
N964,39,26,34,0,99,
S181,0,0,-5,0,-5,
Y057,28,17,26,0,71,
U239,40,25,35,1,101,
G848,30,19,27,0,76,
A334,33,21,30,2,86,
N388,38,24,34,0,96,
