Student ID,Q1,Q2,Q3,Bonus,Total Grade,Tag
S977,30,19,26,0,75,
L448,33,21,30,0,84,
Q910,38,25,33,0,96,
K499,33,21,29,0,83,
J286,40,25,35,0,100,
C588,0,0,-3,0,-3,
R118,0,-9,0,0,-9,
D189,-10,0,0,0,-10,
A850,40,25,35,3,103,suspicious
Q787,40,25,35,5,105,
Q117,40,25,35,2,102,
A819,-1,0,0,0,-1,
V225,40,25,35,5,105,suspicious
N922,40,25,35,4,104,
Y915,26,15,21,0,62,
V609,40,25,35,4,104,suspicious
O739,34,21,31,0,86,
H894,32,19,27,0,78,
K098,40,25,35,4,104,suspicious
F787,40,25,35,4,104,
R068,40,25,35,4,104,suspicious
I895,28,17,25,0,70,
L836,40,25,35,4,104,
E204,34,23,30,0,87,
B532,0,0,-8,0,-8,
B897,30,18,27,0,75,
