Student ID,Q1,Q2,Q3,Bonus,Total Grade,Tag
F522,40,25,35,0,100,
R134,24,15,21,0,60,
B602,0,-1,0,0,-1,
U645,29,19,25,0,73,
S504,37,23,32,3,95,
Y590,0,-2,0,0,-2,
G484,37,23,32,0,92,suspicious
B921,-7,0,0,0,-7,
O414,34,22,30,0,86,
D370,31,18,25,0,74,
K523,35,22,32,2,91,
G705,-10,0,0,0,-10,
X653,33,22,29,0,84,
I235,38,24,34,0,96,
U963,26,15,22,0,63,
C590,35,21,30,0,86,suspicious
E283,32,22,28,0,82,
T403,34,21,32,0,87,suspicious
Q746,0,-6,0,0,-6,
O419,34,20,29,0,83,suspicious
F171,34,20,29,0,83,suspicious
G347,36,23,33,1,93,
X324,35,22,31,4,92,
H048,37,23,33,0,93,
J371,34,21,32,0,87,
U381,36,22,30,1,89,
