Student ID,Q1,Q2,Q3,Bonus,Total Grade,Tag
O198,27,18,24,0,69,
G673,40,25,35,0,100,
U000,38,23,32,0,93,suspicious
M278,40,25,35,0,100,
H689,,,,,,absent
A208,33,20,28,0,81,
W973,33,21,30,0,84,
A040,37,23,32,0,92,suspicious
K806,0,0,-3,0,-3,
A709,37,22,31,0,90,suspicious
Y464,0,0,-7,0,-7,
I240,33,20,28,0,81,suspicious
Y738,,,,,,absent
H444,34,23,30,0,87,
W781,36,22,33,0,91,suspicious
R794,0,-1,0,0,-1,
E982,31,21,27,0,79,
C435,30,18,25,0,73,
W675,32,21,28,0,81,
J954,,,,,,absent
X100,0,-9,0,0,-9,
B678,31,18,25,0,74,
E959,38,24,35,0,97,
T042,,,,,,absent
L274,,,,,,absent
B324,0,-4,0,0,-4,
