Student ID,Q1,Q2,Q3,Bonus,Total Grade,Tag
C696,36,21,30,0,87,
L519,32,20,28,0,80,
P308,0,0,-5,0,-5,
G263,37,23,33,0,93,suspicious
F047,34,20,29,0,83,suspicious
Y665,35,23,30,0,88,
I918,40,25,35,0,100,
M206,40,25,35,3,103,suspicious
Y038,-6,0,0,0,-6,
R854,33,20,28,0,81,suspicious
T550,0,-3,0,0,-3,
K919,40,24,33,0,97,
J446,35,23,31,0,89,
P330,40,25,35,3,103,suspicious
M224,33,19,27,0,79,
C656,40,25,35,4,104,suspicious
Q066,40,25,35,0,100,
Q703,40,25,35,2,102,suspicious
B779,0,0,-6,0,-6,
Y610,40,25,35,3,103,suspicious
H198,39,23,32,0,94,
E697,35,23,31,0,89,
P566,39,23,32,0,94,suspicious
V631,31,18,26,0,75,
B813,34,22,29,0,85,suspicious
D675,0,0,-7,0,-7,
