Student ID,Q1,Q2,Q3,Bonus,Total Grade,Tag
U023,34,21,29,0,84,
H092,37,23,33,0,93,
N476,38,25,33,0,96,
T103,30,19,28,0,77,
F165,40,25,35,5,105,suspicious
N511,34,21,30,0,85,
G379,,,,,,absent
D574,-6,0,0,0,-6,
V402,-5,0,0,0,-5,
V967,0,-9,0,0,-9,
G812,,,,,,absent
A834,40,25,35,4,104,suspicious
R648,31,19,26,0,76,
Q510,40,25,35,4,104,suspicious
P110,39,23,32,0,94,
C413,32,20,28,0,80,
V508,27,17,24,0,68,
P203,40,25,35,4,104,suspicious
N230,,,,,,absent
V605,40,25,35,2,102,suspicious
T661,0,-4,0,0,-4,
E342,,,,,,absent
W014,40,25,35,0,100,
H702,-2,0,0,0,-2,
F169,,,,,,absent
L534,36,22,31,0,89,
