Student ID,Q1,Q2,Q3,Bonus,Total Grade,Tag
J296,32,22,28,0,82,
M593,39,23,33,0,95,
K939,38,24,34,0,96,
H155,0,0,-4,0,-4,
K605,36,22,30,0,88,
V944,33,22,29,0,84,
U608,0,-6,0,0,-6,
Y978,-3,0,0,0,-3,
P314,40,25,35,2,102,
B727,34,22,30,0,86,
W022,,,,,,absent
S712,,,,,,absent
K484,40,25,35,1,101,
T780,40,25,35,4,104,
I477,,,,,,absent
G883,40,25,35,0,100,
O915,29,18,27,0,74,
Q085,,,,,,absent
U395,-4,0,0,0,-4,
M940,30,18,27,0,75,
A400,30,19,28,0,77,
I192,0,0,-5,0,-5,
V830,,,,,,absent
O135,31,18,25,0,74,
S026,40,25,35,3,103,
N473,40,25,35,3,103,
