Student ID,Q1,Q2,Q3,Bonus,Total Grade,Tag
C857,40,25,35,0,100,
I823,31,19,28,0,78,
Y041,34,20,29,0,83,
O161,36,24,31,0,91,
Y379,-8,0,0,0,-8,
I952,40,25,35,2,102,
U341,34,21,32,0,87,
G108,40,25,35,2,102,suspicious
C635,40,25,35,2,102,
X816,31,19,29,0,79,
V224,0,-7,0,0,-7,
O348,35,22,32,0,89,
R491,40,25,35,1,101,suspicious
P590,40,25,35,5,105,
R531,-1,0,0,0,-1,
E975,26,16,23,0,65,
P829,40,25,35,5,105,
Y523,40,25,35,4,104,suspicious
A500,40,25,35,0,100,
Z323,40,25,35,4,104,
Y572,40,25,35,4,104,suspicious
S935,24,17,21,0,62,
U459,40,25,35,5,105,suspicious
J901,0,-10,0,0,-10,
J919,28,17,23,0,68,
S029,0,-7,0,0,-7,
